BOOK TITLE                                                                          | SUBTITLE                                                                                                              | PAGES
Introduction to Machine Learning with Python                                        | A Guide for Data Scientists                                                                                           | 392
Learn to Code by Solving Problems                                                   | A Python Programming Primer                                                                                           | 272
Color Theory                                                                        | An Essential Guide to Color—from Basic Principles to Practical Applications                                           | 144
Learning Python                                                                     | Powerful Object-Oriented Programming                                                                                   | 1648
Mastering Python Regular Expressions                                                | N/A                                                                                                                   | 110
Mastering Regular Expressions                                                       | Understand Your Data and Be More Productive                                                                           | 544
Math Adventures with Python                                                         | An Illustrated Guide to Exploring Math with Code                                                                      | 304
Math for Programmers                                                                | 3D Graphics, Machine Learning, and Simulations with Python                                                            | 688
Microservice APIs                                                                   | Using Python, Flask, FastAPI, OpenAPI and More                                                                        | 344
Mining the Social Web                                                               | Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More                                                  | 448
Numerical Python                                                                    | Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib                                   | 542
Generative AI                                                                       | How ChatGPT and Other AI Tools Will Revolutionize Business                                                            | 272
Colorwise                                                                           | A Very Practical Introduction to the Use of Color in Graphic Design                                                   | 192
Practical Python Data Wrangling and Data Quality                                    | N/A                                                                                                                   | 508
Practical Time Series Analysis                                                      | Prediction with Statistics and Machine Learning                                                                       | 484
Practices of the Python Pro                                                         | N/A                                                                                                                   | 248
Professional Python                                                                 | Expert-Level Python                                                                                                   | 288
Python All-in-One for Dummies                                                       | N/A                                                                                                                   | 720
Design for Developers                                                               | Integrating UX into Your Frontend Practice                                                                            | 264
Python and Tkinter Programming                                                      | N/A                                                                                                                   | 668
Python Cookbook                                                                     | Recipes for Mastering Python 3                                                                                        | 706
Python Crash Course                                                                 | A Hands-On, Project-Based Introduction to Programming                                                                 | 544
Python Data Analytics                                                               | Data Analysis and Science Using Pandas, matplotlib, and the Python Programming Language                               | 400
Python Distilled                                                                    | N/A                                                                                                                   | 320
Python for Data Analysis                                                            | Data Wrangling with pandas, NumPy, and Jupyter                                                                        | 579
Python for Data Science                                                             | An Introduction to Python for Data Science                                                                            | 240
Python for Everybody                                                                | Exploring Data in Python 3                                                                                            | 264
Python for Everyone                                                                 | N/A                                                                                                                   | 576
Python for Excel                                                                    | A Modern Environment for Automation and Data Analysis                                                                 | 366
Designing Interfaces                                                                | Patterns for Effective Interaction Design                                                                             | 623
Python Graphics                                                                     | A Reference for Creating 2D and 3D Images                                                                             | 352
Python Playground                                                                   | Geeky Projects for the Curious Programmer                                                                             | 236
Python Programming                                                                  | An Introduction to Computer Science                                                                                   | 564
Python Tricks                                                                       | A Buffet of Awesome Python Features                                                                                   | 302
Python Workout                                                                      | 50 Ten-Minute Exercises                                                                                               | 280
Robust Python                                                                       | Write Clean and Maintainable Code                                                                                     | 436
Scaling Python with Ray                                                             | N/A                                                                                                                   | 304
Selenium Design Patterns and Best Practices                                         | N/A                                                                                                                   | 202
Selenium WebDriver Practical Guide                                                  | N/A                                                                                                                   | 202
Serious Python                                                                      | Black-Belt Advice on Deployment, Scalability, Testing, and More                                                       | 240
Spark                                                                               | The Definitive Guide                                                                                                  | 462
Supercharged Python                                                                 | Take Your Code to the Next Level                                                                                      | 504
The Art of Clean Code                                                               | Best Practices to Eliminate Complexity and Simplify Your Life                                                         | 264
The Big Book of Small Python Projects                                               | 81 Easy Practice Programs                                                                                             | 440
The Book of Dash                                                                    | Build Dashboards with Python and Plotly                                                                               | 368
The Book of R                                                                       | A First Course in Programming and Statistics                                                                          | 832
The Python Automation Cookbook                                                      | Smart Recipes for Automating Tedious Work with Python                                                                 | 420
The Secret Life of Programs                                                         | Understand Computers -- Craft Better Code                                                                             | 504
Think Bayes                                                                         | Bayesian Statistics in Python                                                                                         | 212
Don't Make Me Think, Revisited                                                      | A Common Sense Approach to Web Usability                                                                              | 216
Think Like a Programmer                                                             | An Introduction to Creative Problem Solving                                                                           | 256
Time Series Forecasting in Python                                                   | N/A                                                                                                                   | 456
Web Scraping with Python                                                            | Collecting More Data from the Modern Web                                                                              | 306
Fundamentals of Data Visualization                                                  | A Primer on Making Informative and Compelling Figures                                                                  | 450
Hands-on Matplotlib                                                                 | Learn Plotting and Visualizations with Python 3                                                                       | 366
Practical Python Data Visualization                                                 | A Fast Track Approach to Learning Data Visualization with Python                                                      | 372
A First Course in Database Systems                                                  | N/A                                                                                                                   | 642
Interaction of Color (50th Anniversary Edition)                                     | N/A                                                                                                                   | 208
An Introduction to Database Systems                                                 | N/A                                                                                                                   | 1040
Database Design and Relational Theory                                               | Normal Forms and All That Jazz                                                                                        | 278
Database in Depth                                                                   | Relational Theory for Practitioners                                                                                   | 218
Database Internals                                                                  | A Deep Dive into How Distributed Data Systems Work                                                                    | 373
Database Management Systems (3rd Edition)                                           | N/A                                                                                                                   | 1120
Database System Concepts                                                            | N/A                                                                                                                   | 1376
Database Systems                                                                    | The Complete Book                                                                                                     | 1203
Designing Data-Intensive Applications                                               | The Big Ideas Behind Reliable, Scalable, and Maintainable Systems                                                     | 616
Foundations of Databases                                                            | The Logical Level                                                                                                     | 750
Laws of UX                                                                          | Design Principles for Persuasive and Ethical Products                                                                 | 152
Learning SQL                                                                        | Generate, Manipulate, and Retrieve Data                                                                               | 390
SQL Performance Explained                                                           | Everything Developers Need to Know about SQL Performance                                                              | 190
The Art of Randomness                                                               | N/A                                                                                                                   | 273
The Art of SQL                                                                      | N/A                                                                                                                   | 386
The Art of Color                                                                    | The Subjective Experience and Objective Rationale of Color                                                            | 160
The Designer's Dictionary of Color                                                  | N/A                                                                                                                   | 256
API Security in Action                                                              | N/A                                                                                                                   | 568
The Pocket Complete Color Harmony                                                   | N/A                                                                                                                   | 224
The Secret Lives of Color                                                           | N/A                                                                                                                   | 336
A Programmer's Guide to Computer Science                                            | A virtual degree for the self-taught developer                                                                        | 188
Algorithms to Live By                                                               | The Computer Science of Human Decisions                                                                               | 368
Algorithms (4th Edition)                                                            | N/A                                                                                                                   | 976
Code                                                                                | The Hidden Language of Computer Hardware and Software                                                                 | 400
Computer Organization and Design                                                    | The Hardware/Software Interface                                                                                        | 800
Python API Development Fundamentals                                                 | Develop Web APIs Using Flask and Python                                                                               | 338
Computer Architecture (Wiley)                                                       | A Quantitative Approach                                                                                               | 936
Ace the Programming Interview                                                       | 160 Questions and Answers for Success                                                                                 | 384
Artificial Intelligence                                                             | A Modern Approach                                                                                                     | 1132
Be Data Literate                                                                    | The Data Literacy Skills Everyone Needs to Succeed                                                                    | 224
Bottlenecks                                                                         | Aligning UX Design with User Psychology                                                                               | 224
Building Microservices                                                              | Designing Fine-Grained Systems                                                                                        | 620
C# 12 Pocket Reference                                                              | Instant Help for C# 12 Programmers                                                                                    | 246
Clean Code Cookbook                                                                 | Recipes to Improve the Design and Quality of Your Code                                                                | 322
Computer Architecture                                                               | A Quantitative Approach                                                                                               | 856
Communication Patterns                                                              | A Guide for Developers and Architects                                                                                 | 278
Crafting Interpreters                                                               | N/A                                                                                                                   | 640
Critical Thinking                                                                   | N/A                                                                                                                   | 322
Design for How People Think                                                         | Using Brain Science to Build Better Products                                                                          | 256
Design Sprint                                                                       | A Practical Guidebook for Building Great Digital Products                                                             | 264
Designing Interfaces                                                                | Patterns for Effective Interaction Design                                                                             | 623
Developing with PDF                                                                 | Dive into the PDF Ecosystem                                                                                           | 274
Effective C                                                                         | An Introduction to Professional C Programming                                                                         | 272
Make It Stick                                                                       | The Science of Successful Learning                                                                                    | 330
Hands-On SAS for Data Analysis                                                      | N/A                                                                                                                   | 326
HBR Guide to Critical Thinking                                                      | N/A                                                                                                                   | 256
Head First Design Patterns                                                          | A Brain-Friendly Guide                                                                                                | 694
How to Read a Book                                                                  | The Classic Guide to Intelligent Reading                                                                              | 426
Learning Algorithms                                                                 | A Programmer's Guide to Writing Better Code                                                                           | 232
Learning Google Analytics                                                           | Creating Business Impact and Driving Insights                                                                         | 346
Learning Jupyter 5                                                                  | Explore Interactive Computing Using Python, Java, JavaScript, R, Julia, and others                                    | 328
API Testing and Development with Postman                                            | A Practical Guide to Creating, Testing, and Managing APIs for Automated Software Testing                              | 354
Dive Into Systems                                                                   | A Gentle Introduction to Computer Systems                                                                             | 756
Learning Microsoft Azure                                                            | Cloud Computing and Development Fundamentals                                                                          | 340
Learning Microsoft Power Automate                                                   | N/A                                                                                                                   | 296
Making Data Visual                                                                  | A Practical Guide to Using Visualization for Insight                                                                  | 212
Marketing Analytics                                                                 | Data-Driven Techniques with Microsoft Excel                                                                           | 480
Mastering Shiny                                                                     | Build Interactive Apps, Reports, and Dashboards Powered by R                                                          | 374
New Perspectives on Computer Concepts 2018                                          | Comprehensive                                                                                                         | 816
PDF Explained                                                                       | The ISO Standard for Document Exchange                                                                                | 186
Presto                                                                              | The Definitive Guide                                                                                                  | 378
Prompt Engineering for Generative AI                                                | Future-Proof Inputs for Reliable AI Outputs                                                                           | 354
Everything You Need to Ace Computer Science and Coding in One Big Fat Notebook      | The Complete Middle School Study Guide                                                                                | 496
Storytelling in Design                                                              | Defining, Designing, and Selling Narrative Experiences                                                                | 328
The Art of Leadership                                                               | Small Things, Done Well                                                                                               | 176
The Art of Readable Code                                                            | Simple and Practical Techniques for Writing Better Code                                                               | 204
The Complete Idiot's Guide to Google Chrome and Chrome OS                           | N/A                                                                                                                   | 288
The Personal MBA                                                                    | Master the Art of Business                                                                                            | 464
The Science of Rapid Skill Acquisition                                              | Advanced Methods to Learn, Remember, and Master New Skills and Information Faster                                     | 250
The Self-Taught Programmer                                                          | The Definitive Guide to Programming Professionally                                                                    | 294
The Start-Up of You                                                                 | Adapt to the Future, Invest in Yourself, and Transform Your Career                                                    | 272
How Computers Really Work                                                           | A Hands-On Guide to the Inner Workings of the Machine                                                                 | 336
Building Tools with GitHub                                                          | Customize and Automate Your GitHub Workflow                                                                           | 228
Git Essentials                                                                      | Developer's Guide to Git                                                                                              | 200
Git for Humans                                                                      | N/A                                                                                                                   | 120
Git in Practice                                                                     | N/A                                                                                                                   | 214
Git Pocket Guide                                                                    | A Working Introduction                                                                                                | 234
GitHub Actions in Action                                                            | N/A                                                                                                                   | 416
Introduction to Algorithms (CLRS)                                                   | N/A                                                                                                                   | 1312
GitHub for Dummies                                                                  | N/A                                                                                                                   | 384
Head First Git                                                                      | A Learner's Guide to Understanding Git from the Inside Out                                                            | 450
Introducing GitHub                                                                  | A Non-Technical Guide                                                                                                 | 162
Learning Git                                                                        | A Hands-On and Visual Guide to the Basics of Git                                                                      | 228
Learning GitHub Actions                                                             | Automation and Integration of CI/CD with GitHub                                                                       | 334
Pro Git                                                                             | N/A                                                                                                                   | 440
Ultimate Git and GitHub for Modern Software Development                             | N/A                                                                                                                   | 326
Introduction to Computer Organization                                               | An Under-the-Hood Look at Hardware and x86-64 Assembly                                                                | 448
Version Control with Git (2nd Edition)                                              | Powerful Tools and Techniques for Collaborative Software Development                                                  | 456
Version Control with Git (3rd Edition)                                              | Powerful Tools and Techniques for Collaborative Software Development                                                  | 464
A Functional Approach to Java                                                       | Augmenting Object-Oriented Java Code with Functional Principles                                                       | 438
Hands-On Selenium WebDriver with Java                                               | A Deep Dive into the Development of End-to-End Tests                                                                  | 534
Head First Java                                                                     | A Brain-Friendly Guide                                                                                                | 756
Java Cookbook                                                                       | Problems and Solutions for Java Developers                                                                            | 882
Java Performance                                                                    | In-Depth Advice for Tuning and Programming Java 8, 11, and Beyond                                                     | 518
Learning Java                                                                       | An Introduction to Real-World Programming with Java                                                                   | 722
Think Java                                                                          | How to Think Like a Computer Scientist                                                                                | 304
R Markdown                                                                          | The Definitive Guide                                                                                                  | 338
The Markdown Guide                                                                  | N/A                                                                                                                   | 156
Algebra I All-in-One for Dummies                                                    | N/A                                                                                                                   | 720
Algebra II All-in-One for Dummies                                                   | N/A                                                                                                                   | 752
Bayesian Statistical Modeling with Stan, R, and Python                              | N/A                                                                                                                   | 434
Calculus All-in-One for Dummies                                                     | N/A                                                                                                                   | 784
Head First Algebra                                                                  | A Learner's Guide to Algebra                                                                                          | 558
Head First Data Analysis                                                            | A Learner's Guide to Big Numbers, Statistics, and Good Decisions                                                      | 450
Mathematical Foundation of Computer Science                                         | N/A                                                                                                                   | 308
Linear Algebra and Its Applications                                                 | N/A                                                                                                                   | 576
Pre-Calculus All-in-One for Dummies                                                 | N/A                                                                                                                   | 688
Microsoft Office 365 Administration Inside Out                                      | N/A                                                                                                                   | 1248
Microsoft Office Inside Out (Office 2021 and Microsoft 365)                         | N/A                                                                                                                   | 1248
Networking Made Easy                                                                | Get Connected to Your Network and the Internet Right Now!                                                             | 167
Applied Microsoft Power BI                                                          | Bring Your Data to Life!                                                                                              | 400
Beginning DAX with Power BI                                                         | The SQL Pro's Guide to Better Business Intelligence                                                                   | 330
Data Analysis with Microsoft Excel                                                  | N/A                                                                                                                   | 600
Data Analysis with Microsoft Power BI                                               | N/A                                                                                                                   | 584
Exam Ref PL-300                                                                     | Microsoft Power BI Data Analyst                                                                                       | 400
Excel Power Pivot & Power Query for Dummies                                         | N/A                                                                                                                   | 384
Introducing Microsoft Power BI                                                      | N/A                                                                                                                   | 218
Mastering Microsoft Power BI                                                        | Expert techniques for effective data analytics and business intelligence                                              | 636
GraphQL in Action                                                                   | N/A                                                                                                                   | 392
Structure and Interpretation of Computer Programs (SICP)                            | N/A                                                                                                                   | 657
Microsoft Excel Dashboards & Reports for Dummies                                    | N/A                                                                                                                   | 387
Microsoft Power BI Complete Reference                                               | N/A                                                                                                                   | 598
Microsoft Power BI Cookbook                                                         | Building Business Intelligence Solutions of Analytical Data Models, Reports, and Dashboards                           | 620
Microsoft Power BI for Dummies                                                      | N/A                                                                                                                   | 384
Pro Power BI Desktop                                                                | N/A                                                                                                                   | 626
Supercharge Power BI                                                                | N/A                                                                                                                   | 242
DAX Cookbook                                                                        | Over 120 Recipes to Enhance Your Business with Analytics Using DAX Queries in Power BI                                | 452
DAX Formulas for PowerPivot                                                         | The Excel Pro's Guide to Mastering DAX                                                                                | 234
The Elements of Computing Systems (Nand to Tetris)                                  | Building a Modern Computer from First Principles                                                                      | 344
Extreme DAX                                                                         | Power BI, SQL Server Analysis Services and Excel                                                                      | 352
Hands-On Business Intelligence with DAX                                             | Leverage the Power of DAX to Solve Complex Business Problems with Power BI                                            | 292
Microsoft Excel 2013                                                                | Step by Step                                                                                                          | 600
Microsoft PowerPivot for Excel 2010                                                 | Give Your Data Meaning                                                                                                | 288
PowerPivot Alchemy                                                                  | Patterns and Techniques for Excel                                                                                     | 232
PowerPivot for the Data Analyst                                                     | Microsoft Excel 2010                                                                                                  | 288
Tabular Modeling in Microsoft SQL Server Analysis Services                          | N/A                                                                                                                   | 400
Upgrading and Repairing PCs                                                         | N/A                                                                                                                   | 1120
The Definitive Guide to DAX                                                         | Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel                                 | 752
101 Ready-to-Use Excel Formulas                                                     | N/A                                                                                                                   | 302
101 Most Popular Excel Formulas                                                     | N/A                                                                                                                   | 228
Advanced Excel Essentials                                                           | N/A                                                                                                                   | 224
Advanced Excel Success                                                              | A Practical Guide to Mastering Excel                                                                                  | 304
Automated Data Analysis Using Excel                                                 | N/A                                                                                                                   | 280
50 Tips and Tricks for MongoDB Developers                                           | N/A                                                                                                                   | 162
Charts and Graphs for Microsoft Office Excel                                        | N/A                                                                                                                   | 432
Create Dynamic Charts in Microsoft Office Excel 2007 and Beyond                     | N/A                                                                                                                   | 288
Dashboards for Excel                                                                | N/A                                                                                                                   | 274
Exam Ref 70-779 Analyzing and Visualizing Data with Microsoft Excel                 | N/A                                                                                                                   | 290
Data Science Fundamentals for Python and MongoDB                                    | N/A                                                                                                                   | 258
Excel 2016 In Depth                                                                 | N/A                                                                                                                   | 984
Excel 2019 All-in-One for Dummies                                                   | N/A                                                                                                                   | 840
Excel 2019 Power Programming with VBA                                               | N/A                                                                                                                   | 1014
Excel Charts                                                                        | N/A                                                                                                                   | 476
Excel Formulas & Functions                                                          | N/A                                                                                                                   | 544
Excel Hacks                                                                         | Tips & Tools for Streamlining Your Spreadsheets                                                                       | 420
MongoDB Applied Design Patterns                                                     | Practical Use Cases with the Leading NoSQL Database                                                                   | 196
MongoDB Basics                                                                      | N/A                                                                                                                   | 139
Excel Dashboards and Reports (2nd Edition)                                          | N/A                                                                                                                   | 360
Financial Analysis with Microsoft Excel                                             | N/A                                                                                                                   | 512
Hands-On Machine Learning with Microsoft Excel 2019                                 | Build Complete Data Analysis and Machine Learning Pipelines Using Excel                                               | 310
Intermediate Excel 365                                                              | N/A                                                                                                                   | 284
Learn Data Mining Through Excel                                                     | A Step-by-Step Approach for Understanding Machine Learning Methods                                                    | 256
Learn Excel 2007 from Mr Excel                                                      | Master Pivot Tables, Subtotals, Charts, VLOOKUP, IF, Data Analysis, and Much More                                     | 492
Marketing Analytics                                                                 | Data-Driven Techniques with Microsoft Excel                                                                           | 480
MongoDB                                                                             | The Definitive Guide                                                                                                  | 514
Mastering Financial Modelling in Microsoft Excel                                    | A Practitioner's Guide to Applied Corporate Finance                                                                   | 400
Microsoft Excel 2019 Pivot Table Data Crunching                                     | N/A                                                                                                                   | 432
Microsoft Excel 365 Bible                                                           | N/A                                                                                                                   | 1056
MongoDB Cookbook                                                                    | N/A                                                                                                                   | 314
Microsoft Excel Functions and Formulas (Excel 2021 / Microsoft 365)                 | N/A                                                                                                                   | 524
Microsoft Excel Inside Out (Office 2021 and Microsoft 365)                          | N/A                                                                                                                   | 912
Microsoft Excel Pivot Table Data Crunching                                          | N/A                                                                                                                   | 432
Microsoft Office Inside Out (Office 2021 and Microsoft 365)                         | N/A                                                                                                                   | 1248
New Perspectives Microsoft Office 365 and Excel 2016 Intermediate                  | N/A                                                                                                                   | 576
MongoDB in Action (Covers MongoDB Version 3)                                        | N/A                                                                                                                   | 386
Power Excel 2019 with MrExcel                                                       | Master Pivot Tables, Subtotals, VLOOKUP, Power Query, Dynamic Arrays & Data Analysis                                  | 624
Pro Excel Financial Modeling                                                        | Building Models for Technology Startups                                                                               | 404
Professional Excel Development                                                      | The Definitive Guide to Developing Applications Using Microsoft Excel, VBA, and .NET                                  | 864
The Excel Analyst's Guide to Access                                                 | N/A                                                                                                                   | 384
101 Ready-to-Use Excel Macros                                                       | N/A                                                                                                                   | 337
Automated Data Analysis Using Excel                                                 | N/A                                                                                                                   | 280
Excel VBA 24-Hour Trainer                                                           | N/A                                                                                                                   | 456
Excel Macros for Dummies (3rd Edition)                                              | N/A                                                                                                                   | 384
Mastering API Architecture                                                          | Design, Operate, and Evolve API-Based Systems                                                                         | 338
Pro MongoDB Development                                                             | N/A                                                                                                                   | 244
Excel VBA Programming for Dummies (5th Edition)                                     | N/A                                                                                                                   | 408
Master Your Data with Power Query in Excel and Power BI                             | Transforming Your Data into Insights                                                                                  | 536
Mastering VBA 2019 for Microsoft Office 365                                         | N/A                                                                                                                   | 824
Microsoft Excel 2019 Programming by Example with VBA, XML, and ASP                  | N/A                                                                                                                   | 656
Microsoft Excel VBA and Macros (Office 2021 and Microsoft 365)                      | N/A                                                                                                                   | 696
More Excel Outside the Box                                                          | Unbelievable Visual Techniques for Excel                                                                              | 233
Scaling MongoDB                                                                     | N/A                                                                                                                   | 82
Programming with Excel VBA and .NET                                                 | N/A                                                                                                                   | 684
Programming Excel with VBA                                                          | A Practical Real-World Guide                                                                                          | 656
VB & VBA in a Nutshell                                                              | The Languages                                                                                                         | 650
Writing Excel Macros with VBA                                                       | Learning the Language of Excel Automation                                                                             | 560
Advanced Excel Reporting for Management Accountants                                 | N/A                                                                                                                   | 256
Financial Modeling in Excel for Dummies                                             | N/A                                                                                                                   | 364
The Definitive Guide to MongoDB (Third Edition)                                     | The NoSQL Database for Cloud and Desktop Computing                                                                    | 356
Hands-On Financial Modeling with Excel for Microsoft 365                            | Build Your Own Financial Models from Scratch Using Relevant and Practical Case Studies                                | 350
Mastering Financial Mathematics in Microsoft Excel                                  | A Practical Guide to Financial Calculations                                                                           | 388
The Concepts and Practice of Mathematical Finance                                   | N/A                                                                                                                   | 554
Using Microsoft Excel and Access 2013 for Accounting                                | N/A                                                                                                                   | 768
Access 2007 VBA Bible                                                               | For Data-Centric Microsoft Office Applications                                                                        | 820
Access 2010 Programmer's Reference                                                  | N/A                                                                                                                   | 1088
Access 2013 All-in-One for Dummies                                                  | N/A                                                                                                                   | 720
Microsoft SQL Server 2019                                                           | N/A                                                                                                                   | 784
Access 2013                                                                         | N/A                                                                                                                   | 784
Access 2019 Bible                                                                   | N/A                                                                                                                   | 1008
Access 2019 for Dummies                                                             | N/A                                                                                                                   | 440
Access Solutions                                                                    | Tips, Tricks, and Secrets from Microsoft Access MVPs                                                                  | 576
Access VBA Programming for Dummies                                                  | N/A                                                                                                                   | 432
Expert One-on-One Microsoft Access Application Development                          | N/A                                                                                                                   | 768
Exploring Microsoft Access 2019 Comprehensive                                       | N/A                                                                                                                   | 576
Microsoft Access 2010 Step by Step                                                  | N/A                                                                                                                   | 552
SQL Server Query Performance Tuning                                                 | Distilled                                                                                                             | 618
Microsoft Access 2010 VBA Macro Programming                                         | N/A                                                                                                                   | 416
Microsoft Access 2010 VBA Programming Inside Out                                    | N/A                                                                                                                   | 816
Microsoft Access 2013 Inside Out                                                    | N/A                                                                                                                   | 1024
Microsoft Access 2019 Programming by Example with VBA, XML, and ASP                 | N/A                                                                                                                   | 640
Microsoft Access VBA Macro Programming                                              | N/A                                                                                                                   | 432
Microsoft Excel and Access Integration with Microsoft Office 2007                   | N/A                                                                                                                   | 412
Microsoft Office Access 2003 Professional Results                                   | N/A                                                                                                                   | 612
Problem Solving Cases in Microsoft Access & Excel                                   | N/A                                                                                                                   | 352
T-SQL Fundamentals                                                                  | N/A                                                                                                                   | 656
Professional Access 2013 Programming                                                | N/A                                                                                                                   | 816
Shelly Cashman Series Microsoft Office 365 & Access 2016                            | Comprehensive                                                                                                         | 720
SQL for Microsoft Access                                                            | N/A                                                                                                                   | 312
New Perspectives Microsoft Office 365 & Office 2019 Introductory                   | N/A                                                                                                                   | 672
